,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
4434,,5506,31/05/2017,Big 60 Million,Albrighton Solar farm,Solar Photovoltaics,,,15.8,,,,,,,,Ground,Operational,Operational,"Land To The North of Harriotts Hayes Lane, Codsall Wood, Wolverhampton",Shropshire,West Midlands,England,WV8 1RQ,"383,131","304,665",Shropshire Council,,,,,,24/07/2015,,,,,,,14/12/2015,,,,14/12/2018,28/11/2016,28/02/2017
4436,,5508,23/06/2017,British Solar Renewables,Clapton Farm Solar Park,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land West Of Tinkers Lane, Southeast Of B3081, Cucklington, Wincanton",Somerset,South West,England,BA9,"375,763","128,657",South Somerset District Council,,,,,,23/07/2015,,,,,,,17/11/2015,,,,17/11/2018,20/01/2017,31/03/2017
4439,,5512,23/06/2017,British Solar Renewables,Galton Manor Solar Park,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land to North East of Galton Road, Galton, Dorchester",Dorset,South West,England,DT2 8BY,"378,440","85,628",West Dorset District Council,,,,,,14/07/2015,,,,,,,07/09/2016,,,,07/09/2019,20/01/2017,31/03/2017
4440,,5513,27/02/2017,Green Hedge (BayWa r.e.),Wormit Solar Farm,Solar Photovoltaics,,,4,,,,,,,,Ground,Operational,Operational,"Land North East of Kilmany Road, Wormit, Newport-On-Tay",Fife,Scotland,Scotland,DD6 8P,"340,703","725,248",Fife Council,,,,,,20/07/2015,,,,,,,09/10/2015,,,,09/10/2018,15/01/2016,31/03/2017
4443,,5516,10/05/2016,First Milk Cheese Company,Aspatria Creamery,Anaerobic Digestion,,,5,No,,,,,,,,Operational,Operational,"Aspatria Creamery, Station Road, Aspatria, Wigton",Cumbria,North West,England,CA7 2AR,"314,453","541,167",Allerdale Borough Council,,,,,,29/06/2015,,,,,,,10/08/2015,,,,,11/08/2015,05/04/2016
4447,,5520,18/08/2016,Lightsource Renewable Energy,The Breck,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"The Breck, Breck Lane, Barrow Hill, Chesterfield",Derbyshire,East Midlands,England,S43 2NP,"442,646","376,222",Chesterfield Borough Council,,,,,,31/07/2015,,,,,,,27/10/2015,,,,27/10/2018,01/02/2016,17/03/2016
4450,,5523,24/10/2017,North Tenement Solar Farm Limited,North Tenement,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"North Tenement, Dredgeman Hill, Haverfordwest, Dyfed",Pembrokeshire,Wales,Wales,SA61 1XL,"193,951","212,945",Pembrokeshire County Council,,,,,,22/07/2015,,,,,,,18/05/2016,,,,18/05/2019,10/02/2017,28/03/2017
4451,,5524,30/06/2017,Lightsource Renewable Energy ,Cwrt Henllys Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Church Farm, Cwm Lane, Henllys, Cwmbran, Gwent",Torfaen,Wales,Wales,NP44 7AS,"325,372","191,949",Torfaen County Borough Council,,,,,,22/07/2015,,,,,,,16/06/2016,,,,,29/10/2016,29/12/2016
4452,,5525,31/05/2017,Anesco,Land at Wreay,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land At Wreay, Calthwaite, Penrith, Carlisle",Cumbria,North West,England,CA4 0PY,"342,451","547,548",Eden District Council,APP/H0928/W/15/3140750,,,,,31/07/2015,,29/10/2015,12/01/2016,,,04/08/2016,04/08/2016,,,,,15/12/2016,29/03/2017
4454,,5527,18/07/2016,Public Power Solutions/ Swindon Borough Council ,Common Farm,Solar Photovoltaics,,,4.8,,,,,,,,Ground,Operational,Operational,"Common Farm, Wharf Road, Wroughton, Swindon",Wiltshire,South West,England,SN4 9QJ,"413,720","181,837",Swindon Borough Council,,,,,,29/07/2015,,,,,,,13/10/2015,,,,13/10/2018,02/05/2016,29/06/2016
4455,,5529,26/05/2017,Lightsource Renewable Energy,Fields Farm (Agden),Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Fields Farm, Agden Near Whitchurch",Cheshire,North West,England,SY13 4RB,"351,447","344,514",Cheshire West and Chester Council,,,,,,23/07/2015,,,,,,,10/02/2016,,,,10/02/2019,09/12/2016,09/02/2017
4456,,5530,19/05/2017,Hill Farm,Land at Hill Farm,Solar Photovoltaics,,,1.2,,,,,,,,Ground,Operational,Operational,"Hill Farm, Spring Lane, Packington, Ashby-De-La-Zouch",Leicestershire,East Midlands,England,LE65 1WU,"437,532","314,290",North West Leicestershire District Council,,,,,,23/07/2015,,,,,,,12/10/2015,,,,12/10/2018,15/08/2016,01/11/2016
4457,,5531,26/05/2017,Lightsource Renewable Energy,Land to North West of Lodge Farm (Park Farm),Solar Photovoltaics,,,4,,,,,,,,Ground,Operational,Operational,"Land To North West Of Lodge Fa, Lodge Hill, Caerleon",Newport,Wales,Wales,NP18 3BX,"331,406","191,683",Newport City Council,,,,,,23/07/2015,,,,,,,08/02/2016,,,,08/02/2021,05/12/2016,03/03/2017
4458,,5532,23/11/2016,SBC Renewables,Seaton Road Solar Farm,Solar Photovoltaics,,,4,,,,,,,,Ground,Operational,Operational,"Land north of, Seaton Road, Uppingham, Oakham",Leicestershire,East Midlands,England,LE15 9HH,"487,565","299,395",Rutland County Council,,,,,,23/07/2015,,,,,,,30/09/2015,,,,30/09/2018,15/10/2016,31/03/2017
4461,,5536,25/04/2017,Navitas Project,Wick Lane Solar Ltd,Solar Photovoltaics,,,2.8,,,,,,,,Ground,Operational,Operational,"Land at Wick Lane, Brent Knoll, Highbridge",Somerset,South West,England,TA9 4BU,"332,955","152,735",Sedgemoor District Council,,,,,,14/07/2015,,,,,,,17/12/2015,,,,17/12/2018,15/01/2017,20/03/2017
4462,,5538,31/08/2017,Wirisol (Sun & Soil),Otherton Farm,Solar Photovoltaics,,,4,,,,,,,,Ground,Operational,Operational,"Otherton Farm, Otherton Lane, Cotheridge, Worcester",Hereford and Worcester,West Midlands,England,WR6 5LS,"380,529","254,163",Malvern Hills District Council,,,,,,29/07/2015,,,,,,,18/12/2015,,,,18/12/2018,21/01/2017,21/03/2017
4464,,5540,21/03/2017,Anesco,Nanthenfoel Farms,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land At Nanthenfoel Farm, Creuddyn Bridge, Lampeter",Ceredigion,Wales,Wales,SA48 8AZ,"254,014","252,465",Ceredigion County Council,,,,,,27/07/2015,,,,,,,18/11/2015,,,,18/11/2020,30/11/2016,15/03/2017
4468,,5545,21/06/2016,Private Developer,Land at Green Farm,Solar Photovoltaics,,,1,,,,,,,,Ground,Operational,Operational,"Land At Green Farm, Allensmore, Hereford",Hereford and Worcester,West Midlands,England,HR2 9AH,"347,256","235,800",Herefordshire Council,,,,,,29/07/2015,,,,,,,30/09/2015,,,,30/09/2018,21/05/2016,21/06/2016
4470,,5547,31/05/2017,Solar Securities Group,West Venn Solar Farm (resubmission),Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land At West Venn Farm, Ashwater, Beaworthy",Devon,South West,England,EX21 5DF,"237,900","97,500",Torridge District Council,,,,,,03/06/2015,,,,,,,01/10/2015,,,,01/10/2018,15/06/2016,13/03/2017
4471,,5548,23/11/2016,SBC Renewables,Corntown Farm,Solar Photovoltaics,,,3.4,,,,,,,,Ground,Operational,Operational,"Corntown Farm, Corntown, Bridgend, Mid Glamorgan",Vale of Glamorgan,Wales,Wales,CF35 5BB,"293,814","176,736",Vale of Glamorgan Council,,,,,,22/07/2015,,,,,,,20/11/2015,,,,20/11/2020,15/10/2016,15/03/2017
4474,,5551,23/11/2016,SBC Renewables,Wally Corner Landfill Site,Solar Photovoltaics,,,7,,,,,,,,Ground,Operational,Operational,"Land off, Burcot Lane, Dorchester-on-Thames, Berinsfield, Wallingford",Oxfordshire,South East,England,OX10 7,"458,069","195,731",South Oxfordshire District Council,,,,,,22/07/2015,,,,,,,29/09/2015,,,,29/09/2018,15/10/2016,15/03/2017
4477,,5554,14/06/2016,Stretton Solar,Land North of the Wood at Averill Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Averill Farm, Evershill Lane, Morton, Alfreton",Derbyshire,East Midlands,England,DE55 6HB,"440,527","361,250",North East Derbyshire District Council,,,,,,22/07/2015,,,,,,,21/10/2015,,,,21/10/2018,15/01/2016,15/03/2016
4478,,5555,24/10/2016,Associated British Ports,ANP Newport Wind Turbine,Wind Onshore,,,2.3,,,,,2.3,2.0,126.0,,Operational,Operational,"Land To South Of South Dock, Alexandra Docks, And Adjacent to River Usk, East Way Road",Newport,Wales,Wales,NP20 2UW,"332,583","184,564",Newport City Council,,,,,,24/07/2015,,,,,,,30/09/2015,,,,30/09/2018,31/03/2016,15/08/2016
4481,,5559,31/10/2017,First Renewable Developments/ Harworth Group,Sudforth Lane (Kellingley Solar Farm),Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Sudforth Lane, Beal, Goole, Humberside",North Yorkshire,Yorkshire and Humber,England,DN14 0SZ,"452,849","423,224",Selby District Council,,,,,,22/04/2015,,,,,,,07/08/2015,,,,,15/01/2017,30/03/2017
4482,,5560,04/12/2017,Greencoat Capital,Berthlwyd Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Berthlwyd Farm, Maendy Road, Penycoedcae, Pontypridd",Rhondda Cynon Taff,Wales,Wales,CF37 1PS,"307,796","188,016",Rhondda Cynon Taff County Borough Council,,,,,,01/06/2015,,,,,,,17/03/2016,,,,17/03/2021,12/12/2016,15/02/2017
4484,,5562,28/07/2016,Pinguin Foods Ltd,Pinguin Foods,Solar Photovoltaics,,,1.5,,,,,,,,Roof,Operational,Operational,"Pinguin Foods, Marsh Lane, Boston",Lincolnshire,East Midlands,England,PE21 7RY,"533,111","342,691",Boston Borough Council,,,,,,24/02/2015,,,,,,,11/06/2015,,,,,03/02/2016,23/03/2016
4489,,5568,18/08/2016,Lightsource Renewable Energy,Land East of Lawn Lane,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land East Of, Lawn Lane, Coven, Wolverhampton",Staffordshire,West Midlands,England,WV9 5AX,"390,500","304,757",South Staffordshire Council,,,,,,13/08/2015,,,,,,,12/11/2015,,,,12/11/2018,15/02/2016,30/03/2016
4493,,5572,01/02/2017,Trina Solar,Land off Ford Lane,Solar Photovoltaics,,,4.7,,,,,,,,Ground,Operational,Operational,"Land Between M20 And M26 West, Ford Lane, Wrotham Heath, Sevenoaks",Kent,South East,England,TN15 7,"563,507","158,908",Tonbridge and Malling Borough Council,,,,,,23/07/2015,,,,,,,30/11/2015,,,,30/11/2020,01/04/2016,17/11/2016
4498,,5577,19/07/2018,Wirsol,Woodhouse Fields Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land To East Of, Nab Lane, Rocester, Uttoxeter",Staffordshire,West Midlands,England,ST14 5JB,"408,847","339,083",East Staffordshire Borough Council,,,,,,07/08/2015,,,,,,,20/11/2015,,,,20/11/2020,10/12/2016,10/02/2017
4499,,5578,01/04/2016,Conergy UK,Land off Hooklands Lane,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land off Hooklands Lane, Spear Hill, Ashington, Pulborough",West Sussex,South East,England,RH20 3BA,"513,504","118,234",Horsham District Council,,,,,,13/08/2015,,,,,,,20/11/2015,,,,20/11/2018,10/01/2016,26/03/2016
4502,,5581,26/01/2017,Island Green Power,High Dyke (Mill Farm),Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land west of Boothby Great Woo, High Dyke, Woodnook, Grantham",Lincolnshire,East Midlands,England,NG33 5AA,"494,348","332,600",South Kesteven District Council,,,,,,11/08/2015,,,,,,,10/11/2015,,,,10/11/2018,29/02/2016,30/03/2016
4503,,5582,26/05/2017,Lightsource Renewable Energy,Land West of Parsonage Wood,Solar Photovoltaics,,,4.2,,,,,,,,Ground,Operational,Operational,"Land West Of Parsonage Wood, Pyworthy, Holsworthy",Devon,South West,England,EX22 6LJ,"230,985","101,685",Torridge District Council,,,,,,05/08/2015,,,,,,,30/09/2015,,,,30/09/2018,06/12/2016,31/01/2016
4509,,5588,23/06/2017,British Solar Renewables,Land at Oldstone Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land At Oldstone Farm, Blackawton, Totnes",Devon,South West,England,TQ9 7DG,"281,849","51,493",South Hams District Council,,,,,,06/08/2015,,,,,,,14/04/2016,,,,14/04/2019,16/01/2017,31/03/2017
4511,,5590,23/05/2017,Trina Solar,Shortheath Solar Park,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Shortheath Farm, Shortheath, Overseal, Swadlincote",Derbyshire,East Midlands,England,DE12 6BN,"430,324","314,853",South Derbyshire District Council,,,,,,05/08/2015,,,,,,,16/12/2015,,,,16/12/2018,15/01/2017,31/03/2017
4512,,5591,25/04/2016,Anesco,Land at Oxcroft Stocking Ground,Solar Photovoltaics,,,3,,,,,,,,Ground,Operational,Operational,"Oxcroft Stocking Ground Land A, Woodthorpe Road and Mill Lane, Stanfree, Chesterfield",Derbyshire,East Midlands,England,S44 6AG,"447,301","373,737",Bolsover District Council,,,,,,03/08/2015,,,,,,,09/12/2015,,,,09/12/2018,15/01/2016,20/03/2016
4513,,5592,20/05/2016,Lightsource Renewable Energy,Holtwood Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Holtwood Farm, Yelt Lane, Doveridge, Ashbourne",Derbyshire,East Midlands,England,DE6 5JW,"413,033","332,318",Derbyshire Dales District Council,,,,,,03/08/2015,,,,,,,14/10/2015,,,,14/10/2018,11/01/2016,10/03/2016
4517,,5596,02/09/2015,Sainsbury's,Nectar Way Regional Distribution Centre,Solar Photovoltaics,,,1,,,,,,,,Roof,Operational,Operational,"Nectar Way, Pineham, Northampton",Northamptonshire,East Midlands,England,NN4 9BX,"471,028","258,480",Northampton Borough Council,,,,,,,,,,,,,,,,,,,12/06/2015
4518,,5598,21/11/2018,CGNEE,Brenig Wind Farm (Resubmission),Wind Onshore,,,37.6,,,,45,3.0,16.0,110.0,,Operational,Operational,"Land east of Llyn Brenig, Nantglyn, Denbigh, Clwyd",Denbighshire,Wales,Wales,,"299,481","357,920",Denbighshire County Council,APP/R6830/A/15/3141249,,,,,18/06/2015,,19/11/2015,27/01/2016,,,18/05/2016,18/05/2016,,,,,24/08/2017,15/10/2018
4519,,5599,15/06/2016,Haymaker Energy,Gib Lane Solar farm (Extension),Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land to East of Gib Lane, Bierton ",Buckinghamshire,South East,England,,"487,183","215,067",Aylesbury Vale District Council,,,,,,22/07/2015,,,,,,,21/10/2015,,,,21/10/2018,08/01/2016,22/03/2016
4520,,5600,24/08/2016,Lightsource Renewable Energy,Land east of Littledown Business Park,Solar Photovoltaics,,,6.2,,,,,,,,Ground,Operational,Operational,"Land east of Littledown Business Park, Shaftesbury",Wiltshire,South West,England,,"386,895","124,480",Wiltshire Council,,,,,,01/07/2014,,,,,,,09/12/2014,,,,09/12/2017,26/01/2016,30/03/2016
4522,,5602,26/01/2016,Addison Energy,Lyreco - Telford Distribution Centre,Solar Photovoltaics,,,3.8,,,,,,,,Roof,Operational,Operational,"Deer Park Court, Telford",Shropshire,West Midlands,England,,"371,576","312,126",Telford and Wrekin Council,,,,,,,,,,,,,,,,,,30/08/2015,26/01/2016
4524,,5605,24/10/2016,Associated British Ports (ABP),Port of Barry (Resubmission) - Site 2,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Atlantic Way, Port of Barry, Barry",Vale of Glamorgan,Wales,Wales,CF63 3RA,"312,836","167,102",Vale of Glamorgan Council,,,,,,18/02/2013,,,,,,,15/04/2015,,,,15/04/2020,15/01/2015,16/04/2015
4538,,5632,23/06/2017,British Solar Renewables,Holly Farm Solar Park,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Holly Farm, Moreton Road, Owermoigne, Dorchester,",Dorset,South West,England,DT2 8HZ,"377,699","87,644",West Dorset District Council,,,,,,29/07/2015,,,,,,,18/12/2015,,,,18/12/2018,20/01/2017,31/03/2017
4539,,5633,18/04/2019,S4N Worsted/ ,Worsted Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land At Worsted Farm, Worsted Lane, East Grinstead, West Sussex",West Sussex,South East,England,RH19 3UF,"541,144","138,070",Mid Sussex District Council,APP/D3830/W/16/3151730,,,,,15/09/2015,,24/12/2015,27/06/2016,,,21/11/2016,21/11/2016,,,,,01/01/2019,16/04/2019
4543,,5637,02/12/2019,Mongoose (formerly Energy Law Unlimited/ Pogbie Windfarm),Pogbie Wind Farm 2,Wind Onshore,,,4.8,,,,,0.8,6.0,74.0,,Operational,Operational,"Humbie, Lothian",East Lothian,Scotland,Scotland,EH36 5PN,"347,360","661,013",East Lothian Council,,,,,,03/08/2015,,,,,,,06/05/2016,,,,06/05/2019,01/06/2017,01/03/2019
4544,,5639,20/06/2018,Earthworm Energy,Daventry,Biomass (dedicated),,,1,Yes,,,,,,,,Operational,Operational,"Earthworm PLC, Browns Road, Daventry",Northamptonshire,East Midlands,England,NN11 4NS,"455,592","262,323",Daventry District Council,,,,,,20/08/2015,,,,,,,28/09/2015,,,,,17/10/2016,15/04/2018
4546,,5643,15/12/2016,Sun Farming UK,Basin Bridge Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Basin Bridge Farm, Basin Bridge Lane, Stoke Golding, Nuneaton",Leicestershire,East Midlands,England,CV13 6JJ,"439,522","296,115",Hinckley and Bosworth Borough Council,,,,,,24/09/2015,,,,,,,18/02/2016,,,,18/02/2019,18/02/2016,31/03/2016
4548,,5645,19/02/2019,Mssrs R Miller Ltd,Arkleby Mill,Anaerobic Digestion,,,1,No,,,,,,,,Operational,Operational,"Arkleby Mill, Ellen Bank, Arkleby, Wigton",Cumbria,North West,England,CA7 2BG,"314,330","540,378",Allerdale Borough Council,,,,,,29/07/2015,,,,,,,23/09/2015,,,,,15/05/2016,01/02/2017
4553,,5650,23/06/2017,East Farm Solar Park Ltd,Land at East Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land To East of Moreton Road, Owermoigne, Dorchester",Dorset,South West,England,DT2 8HT,"377,293","86,144",West Dorset District Council,,,,,,29/07/2015,,,,,,,06/09/2016,,,,06/09/2019,20/01/2017,31/03/2017
4555,,5652,06/12/2019,A J Butler & Sons Ltd,Bromham House Farm,Anaerobic Digestion,,,1.5,No,,,,,,,,Operational,Operational,"Bromham House Farm, 40 Devizes Road, Bromham, Chippenham",Wiltshire,South West,England,SN15 2DX,"397,499","165,857",Wiltshire Council,,,,,,08/05/2015,,,,,,,24/09/2015,,,,,14/02/2017,15/05/2018
4556,,5653,22/09/2016,Kingfisher Scottish Limited Partnership,B&Q Swindon DC,Solar Photovoltaics,,,2.5,,,,,,,,Roof,Operational,Operational,"BandQ Swindon DC, Unit A, G Park, Highworth Road South Marston, Swindon",Wiltshire,South West,England,SN3 4TZ,"417,904","189,004",Swindon Borough Council,,,,,,16/09/2015,,,,,,,26/10/2015,,,,26/10/2018,02/11/2015,30/01/2016
4557,,5654,18/08/2016,Lightsource Renewable Energy,Stragglethorpe Road farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land Opposite Entrance To, Main Road, Cotgrave Place Golf Clu, Nottingham",Nottinghamshire,East Midlands,England,NG12 2JZ,"463,908","336,973",Rushcliffe Borough Council,,,,,,09/01/2015,,,,,,,01/12/2015,,,,01/12/2018,05/02/2016,29/03/2016
4559,,5656,22/12/2016,Anesco,Land at Bluehouse Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land at Bluehouse Farm, Stockton Road, Newton Bewley, Billingham",Cleveland,North East,England,TS22 5PH,"447,326","526,636",Hartlepool Borough Council,,,,,,09/09/2015,,,,,,,30/11/2015,,,,30/11/2018,15/06/2016,31/08/2016
4561,,5660,23/05/2017,UK Sustainable Energy,Potters Bar Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land Rear of Cranborne Road, Household Waste Recycling Cent, Potters Bar",Hertfordshire,Eastern,England,EN6 3JN,"524,112","202,677",Hertsmere Borough Council,,,,,,03/09/2015,,,,,,,18/12/2015,,,,18/12/2018,01/12/2016,28/03/2017
4565,,5664,22/12/2016,Anesco,Stob House Farm,Solar Photovoltaics,,,4.9,,,,,,,,Ground,Operational,Operational,"Land North of Wolviston, Newton Bewley, Billingham",Cleveland,North East,England,TS22 5,"445,555","526,689",Hartlepool Borough Council,,,,,,10/09/2015,,,,,,,22/01/2016,,,,22/01/2019,01/07/2016,01/09/2016
4568,,5668,19/05/2017,William Corbett Farms,Austrey House Farm,Anaerobic Digestion,,,1.5,No,,,,,,,,Operational,Operational,"Austrey House Farm, Orton Lane, Austrey, Atherstone",Warwickshire,West Midlands,England,CV9 3EA,"430,006","305,205",North Warwickshire Borough Council,,,,,,01/05/2015,,,,,,,17/09/2015,,,,,15/05/2015,01/06/2016
4569,,5670,01/02/2017,Solstice Renewables,Granville Road Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land West and South West of Granville Road, Muxton Grange Cottages, Donnington, Telford",Shropshire,West Midlands,England,TF2 7QG,"372,241","312,458",Telford and Wrekin Council,,,,,,07/09/2015,,,,,,,11/12/2015,,,,11/12/2018,24/08/2016,24/10/2016
4572,,5673,16/02/2017,PAR Renewables,Tullywiggan Road,Anaerobic Digestion,,,1,Yes,,,,,,,,Operational,Operational,"14 Tullywiggan Road, Tullywiggan, Cookstown",Co. Tyrone,Northern Ireland,Northern Ireland,BT80 8SD,"94,165","535,547",Mid Ulster,,,,,,19/08/2015,,,,,,,10/12/2015,,,,,15/08/2013,15/08/2014
4581,,5683,12/02/2020,Active Renewables,Mamhilad Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land South of Little Mill Brickworks, Little Mill, Pontypool, Gwent",Torfaen,Wales,Wales,NP4 0HD,"331,456","202,012",Torfaen County Borough Council,,,,,,24/08/2015,,,,,,,22/12/2015,,,,,12/01/2020,12/02/2020
4583,,5685,26/04/2017,Conergy,Hyde Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Hyde Farm, Warrington Road, Olney",Buckinghamshire,South East,England,MK46 4DU,"488,765","253,909",Milton Keynes Council,,,,,,07/08/2015,,,,,,,12/01/2016,,,,12/01/2019,16/12/2016,16/03/2017
4584,,5686,31/08/2016,New Energy for the World,Lower Venn Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land associated with, Lower Venn Farm, Sutton St. Nicholas, Hereford",Hereford and Worcester,West Midlands,England,HR1 3,"354,281","249,138",Herefordshire Council,,,,,,28/08/2015,,,,,,,27/11/2015,,,,27/11/2018,30/01/2016,30/03/2016
4585,,5687,16/05/2017,Littlewood Renewables,Littlewood Lane Solar,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Mansfield Woodhouse, Littlewood Lane, Pleasley Vale, Mansfield",Nottinghamshire,East Midlands,England,NG19 8RR,"453,307","365,197",Mansfield District Council,,,,,,18/08/2015,,,,,,,18/11/2015,,,,18/11/2018,18/01/2017,30/03/2017
4590,,5694,16/06/2016,Zaravolt Development,Peterlee Solar Farm,Solar Photovoltaics,,,5,,,,,,,,Ground,Operational,Operational,"Land North Of Mill Hill, North West Industrial Estate, Peterlee",County Durham,North East,England,SR8 2H,"440,912","542,443",Durham County Council,,,,,,23/07/2015,,,,,,,,,,,,15/01/2016,30/03/2016
